geography_type,geography_code,geography_name,parent_geography,clock_basis,observation_count,mean_demand_mw,minimum_demand_mw,minimum_time_end,peak_demand_mw,peak_time_end,load_factor_mean_divided_by_peak,maximum_one_hour_increase_mw,maximum_one_hour_increase_time_end,maximum_one_hour_decrease_mw,maximum_one_hour_decrease_time_end,unit,source_id
balancing_authority,LDWP,LDWP,CAL,UTC,8784,2595.877,24.0,2024-11-07T08:00,6158.0,2024-09-06T23:00,0.421545,2331.0,2024-11-05T03:00,-2291.0,2024-11-06T22:00,MW,SRC-EIA-930
balancing_authority,LGEE,LGEE,MIDW,UTC,8784,4288.983,2629.0,2024-03-31T11:00,7651.0,2024-01-17T14:00,0.560578,635.0,2024-08-29T15:00,-585.0,2024-06-19T04:00,MW,SRC-EIA-930
balancing_authority,MISO,MISO,MIDW,UTC,8784,73602.477,52878.0,2024-04-14T11:00,118635.0,2024-08-26T22:00,0.620411,6160.0,2024-08-04T16:00,-6369.0,2024-08-27T04:00,MW,SRC-EIA-930
balancing_authority,NEVP,NEVP,NW,UTC,8784,4676.615,3024.0,2024-11-03T11:00,9797.0,2024-07-11T01:00,0.477352,926.0,2024-09-28T21:00,-921.0,2024-07-04T06:00,MW,SRC-EIA-930
balancing_authority,NWMT,NWMT,NW,UTC,8784,1368.695,120.0,2024-08-20T20:00,2079.0,2024-01-14T01:00,0.658343,1454.0,2024-08-20T21:00,-1360.0,2024-08-20T20:00,MW,SRC-EIA-930
balancing_authority,NYIS,NYIS,NY,UTC,8784,17176.726,0.0,2024-01-18T00:00,28990.0,2024-07-08T22:00,0.592505,22452.0,2024-01-18T01:00,-22718.0,2024-01-18T00:00,MW,SRC-EIA-930
balancing_authority,PACE,PACE,NW,UTC,8784,6007.513,4394.0,2024-09-22T11:00,9562.0,2024-08-07T00:00,0.62827,685.0,2024-08-06T15:00,-705.0,2024-07-26T06:00,MW,SRC-EIA-930
balancing_authority,PACW,PACW,NW,UTC,8784,2422.874,1582.0,2024-05-27T11:00,4005.0,2024-07-10T01:00,0.604962,374.0,2024-03-14T14:00,-323.0,2024-07-10T06:00,MW,SRC-EIA-930
balancing_authority,PGE,PGE,NW,UTC,8784,2584.327,1793.0,2024-05-27T11:00,4375.0,2024-07-10T02:00,0.590703,382.0,2024-12-30T15:00,-366.0,2024-07-10T07:00,MW,SRC-EIA-930
balancing_authority,PJM,PJM,MIDA,UTC,8783,92788.048,56260.0,2024-11-21T17:00,153121.0,2024-07-16T22:00,0.605979,39222.0,2024-11-21T18:00,-38552.0,2024-11-21T17:00,MW,SRC-EIA-930
balancing_authority,PNM,PNM,SW,UTC,8784,1670.187,1154.0,2024-11-02T19:00,2754.0,2024-08-21T01:00,0.606459,343.0,2024-11-24T01:00,-235.0,2024-11-24T02:00,MW,SRC-EIA-930
balancing_authority,PSCO,PSCO,NW,UTC,8784,5176.902,1712.0,2024-10-14T23:00,9285.0,2024-08-02T00:00,0.557555,3601.0,2024-10-15T00:00,-3588.0,2024-10-14T23:00,MW,SRC-EIA-930
balancing_authority,PSEI,PSEI,NW,UTC,8784,2833.069,1797.0,2024-06-09T12:00,5293.0,2024-01-13T02:00,0.535248,415.0,2024-03-14T14:00,-520.0,2024-11-20T04:00,MW,SRC-EIA-930
balancing_authority,SC,SC,CAR,UTC,8784,3055.426,1919.0,2024-04-15T08:00,5219.0,2024-01-22T13:00,0.585443,747.0,2024-10-16T23:00,-1123.0,2024-10-16T15:00,MW,SRC-EIA-930
balancing_authority,SCEG,SCEG,CAR,UTC,8784,2811.224,1700.0,2024-09-28T08:00,4784.0,2024-06-25T21:00,0.587631,470.0,2024-08-18T14:00,-445.0,2024-09-27T10:00,MW,SRC-EIA-930
balancing_authority,SCL,SCL,NW,UTC,8784,1074.055,197.0,2024-09-03T21:00,2027.0,2024-01-13T02:00,0.529874,1221.0,2024-11-20T02:00,-1142.0,2024-11-20T01:00,MW,SRC-EIA-930
balancing_authority,SEC,SEC,FLA,UTC,8783,235.665,0.0,2024-02-26T12:00,1354.0,2024-12-26T03:00,0.174051,1147.0,2024-12-26T03:00,-1171.0,2024-12-26T04:00,MW,SRC-EIA-930
balancing_authority,SOCO,SOCO,SE,UTC,8784,27252.294,17007.0,2024-09-28T10:00,47368.0,2024-01-17T13:00,0.575331,3326.0,2024-07-14T16:00,-3087.0,2024-08-18T00:00,MW,SRC-EIA-930
balancing_authority,SPA,SPA,CENT,UTC,8784,22.46,1.0,2024-07-17T11:00,112.0,2024-11-01T15:00,0.200532,93.0,2024-11-01T15:00,-87.0,2024-11-01T16:00,MW,SRC-EIA-930
balancing_authority,SRP,SRP,SW,UTC,8784,4062.368,2447.0,2024-03-12T10:00,8356.0,2024-08-05T00:00,0.486162,722.0,2024-06-20T19:00,-709.0,2024-06-25T03:00,MW,SRC-EIA-930
balancing_authority,SWPP,SWPP,CENT,UTC,8784,33018.966,23816.0,2024-04-29T09:00,54247.0,2024-07-15T22:00,0.608678,7964.0,2024-07-19T06:00,-12220.0,2024-07-19T05:00,MW,SRC-EIA-930
balancing_authority,TAL,TAL,FLA,UTC,8784,325.0,109.0,2024-05-10T13:00,594.0,2024-08-28T20:00,0.547138,53.0,2024-01-10T12:00,-178.0,2024-05-10T12:00,MW,SRC-EIA-930
balancing_authority,TEC,TEC,FLA,UTC,8784,2543.479,457.0,2024-10-10T10:00,4383.0,2024-06-06T21:00,0.580306,379.0,2024-01-17T12:00,-433.0,2024-07-19T00:00,MW,SRC-EIA-930
balancing_authority,TEPC,TEPC,SW,UTC,8784,1649.759,331.0,2024-05-22T21:00,3319.0,2024-07-09T01:00,0.497065,1338.0,2024-05-22T22:00,-1074.0,2024-05-22T21:00,MW,SRC-EIA-930
