Annual mean global surface dry-air mole fractions derived from NOAA/GML measurements and historical records,,,,,,,,,,,,,,,,,,,,,,
,Used to derive radiative forcing and the AGGI for 2025,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HCFC-22,CFC-113,CFC-11,HCFC-141b,CCl4,CFC-12,HCFC-142b,CH3CCl3,H-1211,H-1301,H-2402,HFC-134a,HFC-152a,HFC-143a,HFC-125,HFC-365mfc,HFC-227ea,HFC-23,SF6
,ppm,ppb,ppb,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt
For CFC-113:,,,,,,,,,,,,,,,,,,,,,,
"Dutton, G.S., B.D. Hall, S.A. Montzka, J.D. Nance (2023), Combined Atmospheric Chlorofluorocarbon-113 Dry Air Mole Fractions from the NOAA GML Halocarbons Sampling Network, 1992-2023, Version: 2023-04-13, https://doi.org/10.15138/4N0D-4M07",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
For CCl4:,,,,,,,,,,,,,,,,,,,,,,
"Dutton, G.S., B.D. Hall, S.A. Montzka, J.D. Nance (2023), Combined Atmospheric Carbon tetrachloride Dry Air Mole Fractions from the NOAA GML Halocarbons Sampling Network, 1995-2023, Version: 2023-04-13, https://doi.org/10.15138/CV0A-J604",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"For HCFCs, halons, methyl chloroform, HFC-134a and HFC-152a:",,,,,,,,,,,,,,,,,,,,,,
data for individual chemicals can be found at the associated links at this website (S. Montzka contact):,,,,,,,,,,,,,,,,,,,,,,
https://gml.noaa.gov/hats/data.html,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
For HFC-143a:,,,,,,,,,,,,,,,,,,,,,,
"Vimont, I., Montzka, S., Crotwell, M., Andrews, A., Baier, B., Hall, B., Handley, P., Higgs, J., Kofler, J., Legard, T., McKain, K., Miller, J., Moglia, E., Mund, J., Neff, D., Newberger, T., Petron, G., Sweeney, C., Turnbull, J., Wolter, S., & NOAA Global Monitoring Laboratory. (2022). Atmospheric Dry Air Mole Fractions of  HFC143a from the NOAA GML Surface and Aircraft Vertical Profile Network.  [Data set]. NOAA GML. Version 2023-05-16. https://doi.org/10.15138/kg7e-6p11",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
For HFC-125:,,,,,,,,,,,,,,,,,,,,,,
"Vimont, I., Montzka, S., Crotwell, M., Andrews, A., Baier, B., Hall, B., Handley, P., Higgs, J., Kofler, J., Legard, T., McKain, K., Miller, J., Moglia, E., Mund, J., Neff, D., Newberger, T., Petron, G., Sweeney, C., Turnbull, J., Wolter, S., & NOAA Global Monitoring Laboratory. (2022). Atmospheric Dry Air Mole Fractions of  HFC125 from the NOAA GML Surface and Aircraft Vertical Profile Network.  [Data set]. NOAA GML. Version 2023-05-16. https://doi.org/10.15138/y6xe-ms92",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
For SF6:,,,,,,,,,,,,,,,,,,,,,,
"Dutton, G.S., B.D. Hall, E.J. Dlugokencky, X. Lan, J.D. Nance, M. Madronich (2023), Combined Atmospheric Sulfur hexaflouride Dry Air Mole Fractions from the NOAA GML Halocarbons Sampling Network, 1995-2023, Version: 2023-04-13, https://doi.org/10.15138/TQ02-ZX42",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
For HFC-23 (AGAGE data),,,,,,,,,,,,,,,,,,,,,,
"Prinn, R.G., R.F. Weiss et al., History of chemically and radiatively important atmospheric gases from the Advanced Global Atmospheric Gases Experiment (AGAGE), Earth Syst. Sci. Data, 10, 985?1018 (2018) https://doi.org/10.5194/essd-10-985-2018.",,,,,,,,,,,,,,,,,,,,,,
