dataset_id,source_id,record_type,model,scenario,scenario_family,geography,geography_code,region_level,year,metric,technology,technology_detail,scope,value,unit,source_value,source_unit,source_variable,upstream_status,source_vintage,source_file
DS-IRENA-WETO2022-OCEAN,SRC-IRENA-OCEAN-INVESTMENT-2023,historical_reference,IRENA WETO,1.5°C Scenario,WETO 2022,World,GLO,world,2021,installed_capacity,marine_energy,"ocean energy; includes tidal, wave, and other ocean technologies",global,0.535,GW,0.535,GW,Figure 1 Global ocean energy capacity forecast,reported benchmark in scenario figure,IRENA_2023_citing_WETO_2022,external_report_not_redistributed
DS-IRENA-WETO2022-OCEAN,SRC-IRENA-OCEAN-INVESTMENT-2023,scenario,IRENA WETO,1.5°C Scenario,WETO 2022,World,GLO,world,2030,installed_capacity,marine_energy,"ocean energy; includes tidal, wave, and other ocean technologies",global,70.0,GW,70.0,GW,Figure 1 Global ocean energy capacity forecast,IRENA WETO 2022 1.5°C scenario output,IRENA_2023_citing_WETO_2022,external_report_not_redistributed
DS-IRENA-WETO2022-OCEAN,SRC-IRENA-OCEAN-INVESTMENT-2023,scenario,IRENA WETO,1.5°C Scenario,WETO 2022,World,GLO,world,2050,installed_capacity,marine_energy,"ocean energy; includes tidal, wave, and other ocean technologies",global,350.0,GW,350.0,GW,Figure 1 Global ocean energy capacity forecast,IRENA WETO 2022 1.5°C scenario output / market potential,IRENA_2023_citing_WETO_2022,external_report_not_redistributed
