dataset_id,source_id,record_type,model,scenario,scenario_family,geography,geography_code,region_level,year,metric,technology,technology_detail,scope,value,unit,source_value,source_unit,source_variable,upstream_status,source_vintage,source_file
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,nuclear,Nuclear energy,on_grid_plus_off_grid,360.3225,GW,360322.5,MW,Nuclear energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,other_nonrenewable,Other non-renewable energy,on_grid_plus_off_grid,3.16973,GW,3169.73,MW,Other non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,other_nonrenewable_nec,Other non-renewable energy n.e.s.,on_grid_plus_off_grid,0.22445,GW,224.45,MW,Other non-renewable energy n.e.s.,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,pumped_hydro_storage,Pumped hydro,on_grid_plus_off_grid,77.72255,GW,77722.55,MW,Pumped hydro,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,renewables_total,Total renewable energy,on_grid_plus_off_grid,785.2058,GW,785205.8,MW,Total renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,solar,Solar energy,on_grid_plus_off_grid,1.33167,GW,1331.67,MW,Solar energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2001,installed_capacity,wind,Wind energy,on_grid_plus_off_grid,23.95452,GW,23954.52,MW,Wind energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,bioenergy,Bioenergy,on_grid_plus_off_grid,35.49146,GW,35491.46,MW,Bioenergy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,fossil_fuels_total,Fossil fuels,on_grid_plus_off_grid,2416.56924,GW,2416569.24,MW,Fossil fuels,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,geothermal,Geothermal energy,on_grid_plus_off_grid,8.1132,GW,8113.2,MW,Geothermal energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,hydropower,Renewable hydropower,on_grid_plus_off_grid,729.90281,GW,729902.81,MW,Renewable hydropower,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,marine_energy,Marine energy,on_grid_plus_off_grid,0.24325,GW,243.25,MW,Marine energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,nonrenewables_total,Total non-renewable energy,on_grid_plus_off_grid,2789.73643,GW,2789736.43,MW,Total non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,nuclear,Nuclear energy,on_grid_plus_off_grid,366.6805,GW,366680.5,MW,Nuclear energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,other_nonrenewable,Other non-renewable energy,on_grid_plus_off_grid,3.58589,GW,3585.89,MW,Other non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,other_nonrenewable_nec,Other non-renewable energy n.e.s.,on_grid_plus_off_grid,0.26345,GW,263.45,MW,Other non-renewable energy n.e.s.,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,pumped_hydro_storage,Pumped hydro,on_grid_plus_off_grid,79.13755,GW,79137.55,MW,Pumped hydro,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,renewables_total,Total renewable energy,on_grid_plus_off_grid,806.10529,GW,806105.29,MW,Total renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,solar,Solar energy,on_grid_plus_off_grid,1.63137,GW,1631.37,MW,Solar energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2002,installed_capacity,wind,Wind energy,on_grid_plus_off_grid,30.7232,GW,30723.2,MW,Wind energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2003,installed_capacity,bioenergy,Bioenergy,on_grid_plus_off_grid,38.37058,GW,38370.58,MW,Bioenergy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2003,installed_capacity,fossil_fuels_total,Fossil fuels,on_grid_plus_off_grid,2539.63973,GW,2539639.73,MW,Fossil fuels,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2003,installed_capacity,geothermal,Geothermal energy,on_grid_plus_off_grid,8.1881,GW,8188.1,MW,Geothermal energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2003,installed_capacity,hydropower,Renewable hydropower,on_grid_plus_off_grid,748.54112,GW,748541.12,MW,Renewable hydropower,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2003,installed_capacity,marine_energy,Marine energy,on_grid_plus_off_grid,0.24425,GW,244.25,MW,Marine energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2003,installed_capacity,nonrenewables_total,Total non-renewable energy,on_grid_plus_off_grid,2913.46941,GW,2913469.41,MW,Total non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2003,installed_capacity,nuclear,Nuclear energy,on_grid_plus_off_grid,366.5265,GW,366526.5,MW,Nuclear energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2003,installed_capacity,other_nonrenewable,Other non-renewable energy,on_grid_plus_off_grid,4.00739,GW,4007.39,MW,Other non-renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2003,installed_capacity,other_nonrenewable_nec,Other non-renewable energy n.e.s.,on_grid_plus_off_grid,0.73745,GW,737.45,MW,Other non-renewable energy n.e.s.,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2003,installed_capacity,pumped_hydro_storage,Pumped hydro,on_grid_plus_off_grid,79.29755,GW,79297.55,MW,Pumped hydro,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2003,installed_capacity,renewables_total,Total renewable energy,on_grid_plus_off_grid,836.34635,GW,836346.35,MW,Total renewable energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2003,installed_capacity,solar,Solar energy,on_grid_plus_off_grid,2.34259,GW,2342.59,MW,Solar energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2003,installed_capacity,wind,Wind energy,on_grid_plus_off_grid,38.65972,GW,38659.72,MW,Wind energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2004,installed_capacity,bioenergy,Bioenergy,on_grid_plus_off_grid,40.74382,GW,40743.82,MW,Bioenergy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2004,installed_capacity,fossil_fuels_total,Fossil fuels,on_grid_plus_off_grid,2623.21318,GW,2623213.18,MW,Fossil fuels,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2004,installed_capacity,geothermal,Geothermal energy,on_grid_plus_off_grid,8.2088,GW,8208.8,MW,Geothermal energy,reported,2026-04-16,irena-world-capacity-2000-2025.csv
DS-IRENASTAT-CAP26,SRC-IRENASTAT-CAP26,historical,,,,World,GLO,world,2004,installed_capacity,hydropower,Renewable hydropower,on_grid_plus_off_grid,768.9212,GW,768921.2,MW,Renewable hydropower,reported,2026-04-16,irena-world-capacity-2000-2025.csv
