scenario,sea_level_rise_m,milestone_year,interpretation,source_id
medium_0.9m_by_2100,0.3,2055,study scenario milestone; not current NOAA local projection,PLOS-ROBINSON-2020
medium_0.9m_by_2100,0.6,2080,study scenario milestone; not current NOAA local projection,PLOS-ROBINSON-2020
medium_0.9m_by_2100,0.9,2100,study scenario milestone; not current NOAA local projection,PLOS-ROBINSON-2020
high_1.8m_by_2100,0.3,2042,study scenario milestone; not current NOAA local projection,PLOS-ROBINSON-2020
high_1.8m_by_2100,0.6,2059,study scenario milestone; not current NOAA local projection,PLOS-ROBINSON-2020
high_1.8m_by_2100,0.9,2071,study scenario milestone; not current NOAA local projection,PLOS-ROBINSON-2020
high_1.8m_by_2100,1.2,2082,study scenario milestone; not current NOAA local projection,PLOS-ROBINSON-2020
high_1.8m_by_2100,1.5,2091,study scenario milestone; not current NOAA local projection,PLOS-ROBINSON-2020
high_1.8m_by_2100,1.8,2100,study scenario milestone; not current NOAA local projection,PLOS-ROBINSON-2020
